Date,^NSEI Open,^NSEI High,^NSEI Low,^NSEI Close,^NSEI Adj Close,BAJFINANCE.NS Open,BAJFINANCE.NS High,BAJFINANCE.NS Low,BAJFINANCE.NS Close,BAJFINANCE.NS Adj Close,HDFCBANK.NS Open,HDFCBANK.NS High,HDFCBANK.NS Low,HDFCBANK.NS Close,HDFCBANK.NS Adj Close,INFY.NS Open,INFY.NS High,INFY.NS Low,INFY.NS Close,INFY.NS Adj Close,NESTLEIND.NS Open,NESTLEIND.NS High,NESTLEIND.NS Low,NESTLEIND.NS Close,NESTLEIND.NS Adj Close
15/02/2021,15270.29981,15340.15039,15243.40039,15314.7002,15314.7002,5605.350098,5799,5600,5779.850098,5770.525879,1600.099976,1625,1596.699951,1616.599976,1609.633423,1320,1328.400024,1307.099976,1309.650024,1284.286621,17349,17506.75,17258.05078,17479.84961,17282.98438
16/02/2021,15371.4502,15431.75,15242.2002,15313.4502,15313.4502,5791.399902,5822.200195,5690.299805,5760.25,5750.957031,1621.199951,1641,1608.449951,1626.650024,1619.640259,1314,1319.75,1286,1290.400024,1265.409424,17555,17646,17139.09961,17217.25,17023.34375
17/02/2021,15279.90039,15314.29981,15170.75,15208.90039,15208.90039,5730,5799,5670,5705.149902,5695.945801,1620,1621.800049,1583,1586.5,1579.663208,1290.400024,1294.5,1275,1281.300049,1256.485718,16900,16900,16350,16741.19922,16552.65234
18/02/2021,15238.7002,15250.75,15078.04981,15118.9502,15118.9502,5699,5714.75,5522.200195,5563.350098,5554.375,1605.949951,1605.949951,1548,1554.300049,1547.602051,1276,1306,1275,1292.449951,1267.419678,16756,16900,16300,16364.7002,16180.39551
19/02/2021,15074.79981,15144.04981,14898.2002,14981.75,14981.75,5560,5621.950195,5425,5497.950195,5489.080566,1545,1564.199951,1533,1539.099976,1532.467407,1296.099976,1299.5,1276.800049,1291.300049,1266.291992,16430,16464.69922,16212.9502,16376.40039,16191.96387
22/02/2021,14999.04981,15010.09961,14635.04981,14675.7002,14675.7002,5480,5538.700195,5334.75,5376.850098,5368.175781,1545.050049,1573.900024,1539.449951,1548,1541.329102,1295,1308.550049,1260,1265.199951,1240.69751,16411.05078,16530,16024.59961,16096.29981,15915.01758
23/02/2021,14782.25,14854.5,14651.84961,14707.79981,14707.79981,5420,5504.649902,5350,5383.700195,5375.014648,1553.75,1557.699951,1522.650024,1529.150024,1522.560425,1271.150024,1291,1257.550049,1266.349976,1241.825195,16131,16255,16002.09961,16169.9502,15987.83887
24/02/2021,14729.15039,15008.79981,14504.5,14982,14982,5444,5578.899902,5383,5562.899902,5553.925293,1526.5,1613.949951,1516.25,1606.449951,1599.527222,1260.050049,1276.599976,1252,1274.300049,1249.621338,16283,16378,16100,16346.15039,16162.05469
25/02/2021,15079.84961,15176.5,15065.34961,15097.34961,15097.34961,5601,5619.950195,5511.350098,5529.950195,5521.028809,1609.75,1636.25,1602,1606.400024,1599.477417,1288.449951,1299.75,1272,1274.550049,1249.866455,16306,16373.29981,16100,16113.90039,15932.41992
26/02/2021,14888.59961,14919.4502,14467.75,14529.15039,14529.15039,5430,5454,5221,5264.899902,5256.40625,1587.050049,1588.900024,1521,1534.400024,1527.78772,1269,1274.300049,1244.75,1253.300049,1229.027954,16050.5,16284.40039,16003.90039,16101.59961,15920.25781
01/03/2021,14702.5,14806.79981,14638.54981,14761.54981,14761.54981,5315,5369.899902,5195,5266.799805,5258.303223,1564,1572.550049,1540.699951,1558.900024,1552.182129,1263.300049,1284.5,1259,1267,1242.462524,16236,16367.59961,16100,16292.4502,16108.95898
02/03/2021,14865.29981,14959.09961,14760.79981,14919.09961,14919.09961,5300,5410,5262.049805,5316.299805,5307.723145,1575.699951,1587.5,1551,1568.199951,1561.442017,1282.25,1310,1279.199951,1304.5,1279.23645,16302,16620,16289.75,16576.15039,16389.46484
